Questions,Answers
Why am I getting an UnboundLocalError when the variable has a value?,"It can be a surprise to get the UnboundLocalError in previously working
code when it is modified by adding an assignment statement somewhere in
the body of a function.
This code:
works, but this code:
results in an UnboundLocalError:
This is because when you make an assignment to a variable in a scope, that
variable becomes local to that scope and shadows any similarly named variable
in the outer scope.  Since the last statement in foo assigns a new value to
x, the compiler recognizes it as a local variable.  Consequently when the
earlier print(x) attempts to print the uninitialized local variable and
an error results.
In the example above you can access the outer scope variable by declaring it
global:
This explicit declaration is required in order to remind you that (unlike the
superficially analogous situation with class and instance variables) you are
actually modifying the value of the variable in the outer scope:
You can do a similar thing in a nested scope using the nonlocal
keyword:
In Python, variables that are only referenced inside a function are implicitly
global.  If a variable is assigned a value anywhere within the function’s body,
it’s assumed to be a local unless explicitly declared as global.
Though a bit surprising at first, a moment’s consideration explains this.  On
one hand, requiring global for assigned variables provides a bar
against unintended side-effects.  On the other hand, if global was required
for all global references, you’d be using global all the time.  You’d have
to declare as global every reference to a built-in function or to a component of
an imported module.  This clutter would defeat the usefulness of the global
declaration for identifying side-effects.
Assume you use a for loop to define a few different lambdas (or even plain
functions), e.g.:
This gives you a list that contains 5 lambdas that calculate x**2.  You
might expect that, when called, they would return, respectively, 0, 1,
4, 9, and 16.  However, when you actually try you will see that
they all return 16:
This happens because x is not local to the lambdas, but is defined in
the outer scope, and it is accessed when the lambda is called — not when it
is defined.  At the end of the loop, the value of x is 4, so all the
functions now return 4**2, i.e. 16.  You can also verify this by
changing the value of x and see how the results of the lambdas change:
In order to avoid this, you need to save the values in variables local to the
lambdas, so that they don’t rely on the value of the global x:
Here, n=x creates a new variable n local to the lambda and computed
when the lambda is defined so that it has the same value that x had at
that point in the loop.  This means that the value of n will be 0
in the first lambda, 1 in the second, 2 in the third, and so on.
Therefore each lambda will now return the correct result:
Note that this behaviour is not peculiar to lambdas, but applies to regular
functions too.
The canonical way to share information across modules within a single program is
to create a special module (often called config or cfg).  Just import the config
module in all modules of your application; the module then becomes available as
a global name.  Because there is only one instance of each module, any changes
made to the module object get reflected everywhere.  For example:
config.py:
mod.py:
main.py:
Note that using a module is also the basis for implementing the singleton design
pattern, for the same reason.
In general, don’t use from modulename import *.  Doing so clutters the
importer’s namespace, and makes it much harder for linters to detect undefined
names.
Import modules at the top of a file.  Doing so makes it clear what other modules
your code requires and avoids questions of whether the module name is in scope.
Using one import per line makes it easy to add and delete module imports, but
using multiple imports per line uses less screen space.
It’s good practice if you import modules in the following order:
standard library modules – e.g. sys, os, argparse, re
third-party library modules (anything installed in Python’s site-packages
directory) – e.g. dateutil, requests, PIL.Image
locally developed modules
It is sometimes necessary to move imports to a function or class to avoid
problems with circular imports.  Gordon McMillan says:
Circular imports are fine where both modules use the “import <module>” form
of import.  They fail when the 2nd module wants to grab a name out of the
first (“from module import name”) and the import is at the top level.  That’s
because names in the 1st are not yet available, because the first module is
busy importing the 2nd.
In this case, if the second module is only used in one function, then the import
can easily be moved into that function.  By the time the import is called, the
first module will have finished initializing, and the second module can do its
import.
It may also be necessary to move imports out of the top level of code if some of
the modules are platform-specific.  In that case, it may not even be possible to
import all of the modules at the top of the file.  In this case, importing the
correct modules in the corresponding platform-specific code is a good option.
Only move imports into a local scope, such as inside a function definition, if
it’s necessary to solve a problem such as avoiding a circular import or are
trying to reduce the initialization time of a module.  This technique is
especially helpful if many of the imports are unnecessary depending on how the
program executes.  You may also want to move imports into a function if the
modules are only ever used in that function.  Note that loading a module the
first time may be expensive because of the one time initialization of the
module, but loading a module multiple times is virtually free, costing only a
couple of dictionary lookups.  Even if the module name has gone out of scope,
the module is probably available in sys.modules.
This type of bug commonly bites neophyte programmers.  Consider this function:
The first time you call this function, mydict contains a single item.  The
second time, mydict contains two items because when foo() begins
executing, mydict starts out with an item already in it.
It is often expected that a function call creates new objects for default
values. This is not what happens. Default values are created exactly once, when
the function is defined.  If that object is changed, like the dictionary in this
example, subsequent calls to the function will refer to this changed object.
By definition, immutable objects such as numbers, strings, tuples, and None,
are safe from change. Changes to mutable objects such as dictionaries, lists,
and class instances can lead to confusion.
Because of this feature, it is good programming practice to not use mutable
objects as default values.  Instead, use None as the default value and
inside the function, check if the parameter is None and create a new
list/dictionary/whatever if it is.  For example, don’t write:
but:
This feature can be useful.  When you have a function that’s time-consuming to
compute, a common technique is to cache the parameters and the resulting value
of each call to the function, and return the cached value if the same value is
requested again.  This is called “memoizing”, and can be implemented like this:
You could use a global variable containing a dictionary instead of the default
value; it’s a matter of taste.
Collect the arguments using the * and ** specifiers in the function’s
parameter list; this gives you the positional arguments as a tuple and the
keyword arguments as a dictionary.  You can then pass these arguments when
calling another function by using * and **:
Parameters are defined by the names that appear in a
function definition, whereas arguments are the values
actually passed to a function when calling it.  Parameters define what
kind of arguments a function can accept.  For
example, given the function definition:
foo, bar and kwargs are parameters of func.  However, when calling
func, for example:
the values 42, 314, and somevar are arguments.
If you wrote code like:
you might be wondering why appending an element to y changed x too.
There are two factors that produce this result:
Variables are simply names that refer to objects.  Doing y = x doesn’t
create a copy of the list – it creates a new variable y that refers to
the same object x refers to.  This means that there is only one object
(the list), and both x and y refer to it.
Lists are mutable, which means that you can change their content.
After the call to append(), the content of the mutable object has
changed from [] to [10].  Since both the variables refer to the same
object, using either name accesses the modified value [10].
If we instead assign an immutable object to x:
we can see that in this case x and y are not equal anymore.  This is
because integers are immutable, and when we do x = x + 1 we are not
mutating the int 5 by incrementing its value; instead, we are creating a
new object (the int 6) and assigning it to x (that is, changing which
object x refers to).  After this assignment we have two objects (the ints
6 and 5) and two variables that refer to them (x now refers to
6 but y still refers to 5).
Some operations (for example y.append(10) and y.sort()) mutate the
object, whereas superficially similar operations (for example y = y + [10]
and sorted(y)) create a new object.  In general in Python (and in all cases
in the standard library) a method that mutates an object will return None
to help avoid getting the two types of operations confused.  So if you
mistakenly write y.sort() thinking it will give you a sorted copy of y,
you’ll instead end up with None, which will likely cause your program to
generate an easily diagnosed error.
However, there is one class of operations where the same operation sometimes
has different behaviors with different types:  the augmented assignment
operators.  For example, += mutates lists but not tuples or ints (a_list
+= [1, 2, 3] is equivalent to a_list.extend([1, 2, 3]) and mutates
a_list, whereas some_tuple += (1, 2, 3) and some_int += 1 create
new objects).
In other words:
If we have a mutable object (list, dict, set,
etc.), we can use some specific operations to mutate it and all the variables
that refer to it will see the change.
If we have an immutable object (str, int, tuple,
etc.), all the variables that refer to it will always see the same value,
but operations that transform that value into a new value always return a new
object.
If you want to know if two variables refer to the same object or not, you can
use the is operator, or the built-in function id().
Remember that arguments are passed by assignment in Python.  Since assignment
just creates references to objects, there’s no alias between an argument name in
the caller and callee, and so no call-by-reference per se.  You can achieve the
desired effect in a number of ways.
By returning a tuple of the results:
This is almost always the clearest solution.
By using global variables.  This isn’t thread-safe, and is not recommended.
By passing a mutable (changeable in-place) object:
By passing in a dictionary that gets mutated:
Or bundle up values in a class instance:
There’s almost never a good reason to get this complicated.
Your best choice is to return a tuple containing the multiple results.
You have two choices: you can use nested scopes or you can use callable objects.
For example, suppose you wanted to define linear(a,b) which returns a
function f(x) that computes the value a*x+b.  Using nested scopes:
Or using a callable object:
In both cases,
gives a callable object where taxes(10e6) == 0.3 * 10e6 + 2.
The callable object approach has the disadvantage that it is a bit slower and
results in slightly longer code.  However, note that a collection of callables
can share their signature via inheritance:
Object can encapsulate state for several methods:
Here inc(), dec() and reset() act like functions which share the
same counting variable.
In general, try copy.copy() or copy.deepcopy() for the general case.
Not all objects can be copied, but most can.
Some objects can be copied more easily.  Dictionaries have a copy()
method:
Sequences can be copied by slicing:
For an instance x of a user-defined class, dir(x) returns an alphabetized
list of the names containing the instance attributes and methods and attributes
defined by its class.
Generally speaking, it can’t, because objects don’t really have names.
Essentially, assignment always binds a name to a value; the same is true of
def and class statements, but in that case the value is a
callable. Consider the following code:
Arguably the class has a name: even though it is bound to two names and invoked
through the name B the created instance is still reported as an instance of
class A.  However, it is impossible to say whether the instance’s name is a or
b, since both names are bound to the same value.
Generally speaking it should not be necessary for your code to “know the names”
of particular values. Unless you are deliberately writing introspective
programs, this is usually an indication that a change of approach might be
beneficial.
In comp.lang.python, Fredrik Lundh once gave an excellent analogy in answer to
this question:
The same way as you get the name of that cat you found on your porch: the cat
(object) itself cannot tell you its name, and it doesn’t really care – so
the only way to find out what it’s called is to ask all your neighbours
(namespaces) if it’s their cat (object)…
….and don’t be surprised if you’ll find that it’s known by many names, or
no name at all!
Comma is not an operator in Python.  Consider this session:
Since the comma is not an operator, but a separator between expressions the
above is evaluated as if you had entered:
not:
The same is true of the various assignment operators (=, += etc).  They
are not truly operators but syntactic delimiters in assignment statements.
Yes, there is. The syntax is as follows:
Before this syntax was introduced in Python 2.5, a common idiom was to use
logical operators:
However, this idiom is unsafe, as it can give wrong results when on_true
has a false boolean value.  Therefore, it is always better to use
the ... if ... else ... form.
Yes.  Usually this is done by nesting lambda within
lambda.  See the following three examples, slightly adapted from Ulf Bartelt:
Don’t try this at home, kids!
A slash in the argument list of a function denotes that the parameters prior to
it are positional-only.  Positional-only parameters are the ones without an
externally usable name.  Upon calling a function that accepts positional-only
parameters, arguments are mapped to parameters based solely on their position.
For example, divmod() is a function that accepts positional-only
parameters. Its documentation looks like this:
The slash at the end of the parameter list means that both parameters are
positional-only. Thus, calling divmod() with keyword arguments would lead
to an error:"
Why am I getting an UnboundLocalError when the variable has a value?,"It can be a surprise to get the UnboundLocalError in previously working
code when it is modified by adding an assignment statement somewhere in
the body of a function.
This code:
works, but this code:
results in an UnboundLocalError:
This is because when you make an assignment to a variable in a scope, that
variable becomes local to that scope and shadows any similarly named variable
in the outer scope.  Since the last statement in foo assigns a new value to
x, the compiler recognizes it as a local variable.  Consequently when the
earlier print(x) attempts to print the uninitialized local variable and
an error results.
In the example above you can access the outer scope variable by declaring it
global:
This explicit declaration is required in order to remind you that (unlike the
superficially analogous situation with class and instance variables) you are
actually modifying the value of the variable in the outer scope:
You can do a similar thing in a nested scope using the nonlocal
keyword:"
What are the rules for local and global variables in Python?,"In Python, variables that are only referenced inside a function are implicitly
global.  If a variable is assigned a value anywhere within the function’s body,
it’s assumed to be a local unless explicitly declared as global.
Though a bit surprising at first, a moment’s consideration explains this.  On
one hand, requiring global for assigned variables provides a bar
against unintended side-effects.  On the other hand, if global was required
for all global references, you’d be using global all the time.  You’d have
to declare as global every reference to a built-in function or to a component of
an imported module.  This clutter would defeat the usefulness of the global
declaration for identifying side-effects."
Why do lambdas defined in a loop with different values all return the same result?,"Assume you use a for loop to define a few different lambdas (or even plain
functions), e.g.:
This gives you a list that contains 5 lambdas that calculate x**2.  You
might expect that, when called, they would return, respectively, 0, 1,
4, 9, and 16.  However, when you actually try you will see that
they all return 16:
This happens because x is not local to the lambdas, but is defined in
the outer scope, and it is accessed when the lambda is called — not when it
is defined.  At the end of the loop, the value of x is 4, so all the
functions now return 4**2, i.e. 16.  You can also verify this by
changing the value of x and see how the results of the lambdas change:
In order to avoid this, you need to save the values in variables local to the
lambdas, so that they don’t rely on the value of the global x:
Here, n=x creates a new variable n local to the lambda and computed
when the lambda is defined so that it has the same value that x had at
that point in the loop.  This means that the value of n will be 0
in the first lambda, 1 in the second, 2 in the third, and so on.
Therefore each lambda will now return the correct result:
Note that this behaviour is not peculiar to lambdas, but applies to regular
functions too."
How do I share global variables across modules?,"The canonical way to share information across modules within a single program is
to create a special module (often called config or cfg).  Just import the config
module in all modules of your application; the module then becomes available as
a global name.  Because there is only one instance of each module, any changes
made to the module object get reflected everywhere.  For example:
config.py:
mod.py:
main.py:
Note that using a module is also the basis for implementing the singleton design
pattern, for the same reason."
What are the “best practices” for using import in a module?,"In general, don’t use from modulename import *.  Doing so clutters the
importer’s namespace, and makes it much harder for linters to detect undefined
names.
Import modules at the top of a file.  Doing so makes it clear what other modules
your code requires and avoids questions of whether the module name is in scope.
Using one import per line makes it easy to add and delete module imports, but
using multiple imports per line uses less screen space.
It’s good practice if you import modules in the following order:
standard library modules – e.g. sys, os, argparse, re
third-party library modules (anything installed in Python’s site-packages
directory) – e.g. dateutil, requests, PIL.Image
locally developed modules
It is sometimes necessary to move imports to a function or class to avoid
problems with circular imports.  Gordon McMillan says:
Circular imports are fine where both modules use the “import <module>” form
of import.  They fail when the 2nd module wants to grab a name out of the
first (“from module import name”) and the import is at the top level.  That’s
because names in the 1st are not yet available, because the first module is
busy importing the 2nd.
In this case, if the second module is only used in one function, then the import
can easily be moved into that function.  By the time the import is called, the
first module will have finished initializing, and the second module can do its
import.
It may also be necessary to move imports out of the top level of code if some of
the modules are platform-specific.  In that case, it may not even be possible to
import all of the modules at the top of the file.  In this case, importing the
correct modules in the corresponding platform-specific code is a good option.
Only move imports into a local scope, such as inside a function definition, if
it’s necessary to solve a problem such as avoiding a circular import or are
trying to reduce the initialization time of a module.  This technique is
especially helpful if many of the imports are unnecessary depending on how the
program executes.  You may also want to move imports into a function if the
modules are only ever used in that function.  Note that loading a module the
first time may be expensive because of the one time initialization of the
module, but loading a module multiple times is virtually free, costing only a
couple of dictionary lookups.  Even if the module name has gone out of scope,
the module is probably available in sys.modules."
Why are default values shared between objects?,"This type of bug commonly bites neophyte programmers.  Consider this function:
The first time you call this function, mydict contains a single item.  The
second time, mydict contains two items because when foo() begins
executing, mydict starts out with an item already in it.
It is often expected that a function call creates new objects for default
values. This is not what happens. Default values are created exactly once, when
the function is defined.  If that object is changed, like the dictionary in this
example, subsequent calls to the function will refer to this changed object.
By definition, immutable objects such as numbers, strings, tuples, and None,
are safe from change. Changes to mutable objects such as dictionaries, lists,
and class instances can lead to confusion.
Because of this feature, it is good programming practice to not use mutable
objects as default values.  Instead, use None as the default value and
inside the function, check if the parameter is None and create a new
list/dictionary/whatever if it is.  For example, don’t write:
but:
This feature can be useful.  When you have a function that’s time-consuming to
compute, a common technique is to cache the parameters and the resulting value
of each call to the function, and return the cached value if the same value is
requested again.  This is called “memoizing”, and can be implemented like this:
You could use a global variable containing a dictionary instead of the default
value; it’s a matter of taste."
How can I pass optional or keyword parameters from one function to another?,"Collect the arguments using the * and ** specifiers in the function’s
parameter list; this gives you the positional arguments as a tuple and the
keyword arguments as a dictionary.  You can then pass these arguments when
calling another function by using * and **:"
What is the difference between arguments and parameters?,"Parameters are defined by the names that appear in a
function definition, whereas arguments are the values
actually passed to a function when calling it.  Parameters define what
kind of arguments a function can accept.  For
example, given the function definition:
foo, bar and kwargs are parameters of func.  However, when calling
func, for example:
the values 42, 314, and somevar are arguments."
Why did changing list ‘y’ also change list ‘x’?,"If you wrote code like:
you might be wondering why appending an element to y changed x too.
There are two factors that produce this result:
Variables are simply names that refer to objects.  Doing y = x doesn’t
create a copy of the list – it creates a new variable y that refers to
the same object x refers to.  This means that there is only one object
(the list), and both x and y refer to it.
Lists are mutable, which means that you can change their content.
After the call to append(), the content of the mutable object has
changed from [] to [10].  Since both the variables refer to the same
object, using either name accesses the modified value [10].
If we instead assign an immutable object to x:
we can see that in this case x and y are not equal anymore.  This is
because integers are immutable, and when we do x = x + 1 we are not
mutating the int 5 by incrementing its value; instead, we are creating a
new object (the int 6) and assigning it to x (that is, changing which
object x refers to).  After this assignment we have two objects (the ints
6 and 5) and two variables that refer to them (x now refers to
6 but y still refers to 5).
Some operations (for example y.append(10) and y.sort()) mutate the
object, whereas superficially similar operations (for example y = y + [10]
and sorted(y)) create a new object.  In general in Python (and in all cases
in the standard library) a method that mutates an object will return None
to help avoid getting the two types of operations confused.  So if you
mistakenly write y.sort() thinking it will give you a sorted copy of y,
you’ll instead end up with None, which will likely cause your program to
generate an easily diagnosed error.
However, there is one class of operations where the same operation sometimes
has different behaviors with different types:  the augmented assignment
operators.  For example, += mutates lists but not tuples or ints (a_list
+= [1, 2, 3] is equivalent to a_list.extend([1, 2, 3]) and mutates
a_list, whereas some_tuple += (1, 2, 3) and some_int += 1 create
new objects).
In other words:
If we have a mutable object (list, dict, set,
etc.), we can use some specific operations to mutate it and all the variables
that refer to it will see the change.
If we have an immutable object (str, int, tuple,
etc.), all the variables that refer to it will always see the same value,
but operations that transform that value into a new value always return a new
object.
If you want to know if two variables refer to the same object or not, you can
use the is operator, or the built-in function id()."
How do I write a function with output parameters (call by reference)?,"Remember that arguments are passed by assignment in Python.  Since assignment
just creates references to objects, there’s no alias between an argument name in
the caller and callee, and so no call-by-reference per se.  You can achieve the
desired effect in a number of ways.
By returning a tuple of the results:
This is almost always the clearest solution.
By using global variables.  This isn’t thread-safe, and is not recommended.
By passing a mutable (changeable in-place) object:
By passing in a dictionary that gets mutated:
Or bundle up values in a class instance:
There’s almost never a good reason to get this complicated.
Your best choice is to return a tuple containing the multiple results."
How do you make a higher order function in Python?,"You have two choices: you can use nested scopes or you can use callable objects.
For example, suppose you wanted to define linear(a,b) which returns a
function f(x) that computes the value a*x+b.  Using nested scopes:
Or using a callable object:
In both cases,
gives a callable object where taxes(10e6) == 0.3 * 10e6 + 2.
The callable object approach has the disadvantage that it is a bit slower and
results in slightly longer code.  However, note that a collection of callables
can share their signature via inheritance:
Object can encapsulate state for several methods:
Here inc(), dec() and reset() act like functions which share the
same counting variable."
How do I copy an object in Python?,"In general, try copy.copy() or copy.deepcopy() for the general case.
Not all objects can be copied, but most can.
Some objects can be copied more easily.  Dictionaries have a copy()
method:
Sequences can be copied by slicing:"
How can I find the methods or attributes of an object?,"For an instance x of a user-defined class, dir(x) returns an alphabetized
list of the names containing the instance attributes and methods and attributes
defined by its class."
How can my code discover the name of an object?,"Generally speaking, it can’t, because objects don’t really have names.
Essentially, assignment always binds a name to a value; the same is true of
def and class statements, but in that case the value is a
callable. Consider the following code:
Arguably the class has a name: even though it is bound to two names and invoked
through the name B the created instance is still reported as an instance of
class A.  However, it is impossible to say whether the instance’s name is a or
b, since both names are bound to the same value.
Generally speaking it should not be necessary for your code to “know the names”
of particular values. Unless you are deliberately writing introspective
programs, this is usually an indication that a change of approach might be
beneficial.
In comp.lang.python, Fredrik Lundh once gave an excellent analogy in answer to
this question:
The same way as you get the name of that cat you found on your porch: the cat
(object) itself cannot tell you its name, and it doesn’t really care – so
the only way to find out what it’s called is to ask all your neighbours
(namespaces) if it’s their cat (object)…
….and don’t be surprised if you’ll find that it’s known by many names, or
no name at all!"
What’s up with the comma operator’s precedence?,"Comma is not an operator in Python.  Consider this session:
Since the comma is not an operator, but a separator between expressions the
above is evaluated as if you had entered:
not:
The same is true of the various assignment operators (=, += etc).  They
are not truly operators but syntactic delimiters in assignment statements."
Is there an equivalent of C’s “?:” ternary operator?,"Yes, there is. The syntax is as follows:
Before this syntax was introduced in Python 2.5, a common idiom was to use
logical operators:
However, this idiom is unsafe, as it can give wrong results when on_true
has a false boolean value.  Therefore, it is always better to use
the ... if ... else ... form."
Is it possible to write obfuscated one-liners in Python?,"Yes.  Usually this is done by nesting lambda within
lambda.  See the following three examples, slightly adapted from Ulf Bartelt:
Don’t try this at home, kids!"
What does the slash(/) in the parameter list of a function mean?,"A slash in the argument list of a function denotes that the parameters prior to
it are positional-only.  Positional-only parameters are the ones without an
externally usable name.  Upon calling a function that accepts positional-only
parameters, arguments are mapped to parameters based solely on their position.
For example, divmod() is a function that accepts positional-only
parameters. Its documentation looks like this:
The slash at the end of the parameter list means that both parameters are
positional-only. Thus, calling divmod() with keyword arguments would lead
to an error:"
How do I specify hexadecimal and octal integers?,"To specify an octal digit, precede the octal value with a zero, and then a lower
or uppercase “o”.  For example, to set the variable “a” to the octal value “10”
(8 in decimal), type:
Hexadecimal is just as easy.  Simply precede the hexadecimal number with a zero,
and then a lower or uppercase “x”.  Hexadecimal digits can be specified in lower
or uppercase.  For example, in the Python interpreter:
It’s primarily driven by the desire that i % j have the same sign as j.
If you want that, and also want:
then integer division has to return the floor.  C also requires that identity to
hold, and then compilers that truncate i // j need to make i % j have
the same sign as i.
There are few real use cases for i % j when j is negative.  When j
is positive, there are many, and in virtually all of them it’s more useful for
i % j to be >= 0.  If the clock says 10 now, what did it say 200 hours
ago?  -190 % 12 == 2 is useful; -190 % 12 == -10 is a bug waiting to
bite.
Trying to lookup an int literal attribute in the normal manner gives
a SyntaxError because the period is seen as a decimal point:
The solution is to separate the literal from the period
with either a space or parentheses.
For integers, use the built-in int() type constructor, e.g. int('144')
== 144.  Similarly, float() converts to floating-point,
e.g. float('144') == 144.0.
By default, these interpret the number as decimal, so that int('0144') ==
144 holds true, and int('0x144') raises ValueError. int(string,
base) takes the base to convert from as a second optional argument, so int(
'0x144', 16) == 324.  If the base is specified as 0, the number is interpreted
using Python’s rules: a leading ‘0o’ indicates octal, and ‘0x’ indicates a hex
number.
Do not use the built-in function eval() if all you need is to convert
strings to numbers.  eval() will be significantly slower and it presents a
security risk: someone could pass you a Python expression that might have
unwanted side effects.  For example, someone could pass
__import__('os').system(""rm -rf $HOME"") which would erase your home
directory.
eval() also has the effect of interpreting numbers as Python expressions,
so that e.g. eval('09') gives a syntax error because Python does not allow
leading ‘0’ in a decimal number (except ‘0’).
To convert, e.g., the number 144 to the string '144', use the built-in type
constructor str().  If you want a hexadecimal or octal representation, use
the built-in functions hex() or oct().  For fancy formatting, see
the f-strings and Format String Syntax sections,
e.g. ""{:04d}"".format(144) yields
'0144' and ""{:.3f}"".format(1.0/3.0) yields '0.333'.
You can’t, because strings are immutable.  In most situations, you should
simply construct a new string from the various parts you want to assemble
it from.  However, if you need an object with the ability to modify in-place
unicode data, try using an io.StringIO object or the array
module:
There are various techniques.
The best is to use a dictionary that maps strings to functions.  The primary
advantage of this technique is that the strings do not need to match the names
of the functions.  This is also the primary technique used to emulate a case
construct:
Use the built-in function getattr():
Note that getattr() works on any object, including classes, class
instances, modules, and so on.
This is used in several places in the standard library, like this:
Use locals() to resolve the function name:
You can use S.rstrip(""\r\n"") to remove all occurrences of any line
terminator from the end of the string S without removing other trailing
whitespace.  If the string S represents more than one line, with several
empty lines at the end, the line terminators for all the blank lines will
be removed:
Since this is typically only desired when reading text one line at a time, using
S.rstrip() this way works well.
Not as such.
For simple input parsing, the easiest approach is usually to split the line into
whitespace-delimited words using the split() method of string objects
and then convert decimal strings to numeric values using int() or
float().  split() supports an optional “sep” parameter which is useful
if the line uses something other than whitespace as a separator.
For more complicated input parsing, regular expressions are more powerful
than C’s sscanf and better suited for the task.
See the Unicode HOWTO.
A raw string ending with an odd number of backslashes will escape the string’s quote:
There are several workarounds for this. One is to use regular strings and double
the backslashes:
Another is to concatenate a regular string containing an escaped backslash to the
raw string:
It is also possible to use os.path.join() to append a backslash on Windows:
Note that while a backslash will “escape” a quote for the purposes of
determining where the raw string ends, no escaping occurs when interpreting the
value of the raw string. That is, the backslash remains present in the value of
the raw string:
Also see the specification in the language reference."
How do I specify hexadecimal and octal integers?,"To specify an octal digit, precede the octal value with a zero, and then a lower
or uppercase “o”.  For example, to set the variable “a” to the octal value “10”
(8 in decimal), type:
Hexadecimal is just as easy.  Simply precede the hexadecimal number with a zero,
and then a lower or uppercase “x”.  Hexadecimal digits can be specified in lower
or uppercase.  For example, in the Python interpreter:"
Why does -22 // 10 return -3?,"It’s primarily driven by the desire that i % j have the same sign as j.
If you want that, and also want:
then integer division has to return the floor.  C also requires that identity to
hold, and then compilers that truncate i // j need to make i % j have
the same sign as i.
There are few real use cases for i % j when j is negative.  When j
is positive, there are many, and in virtually all of them it’s more useful for
i % j to be >= 0.  If the clock says 10 now, what did it say 200 hours
ago?  -190 % 12 == 2 is useful; -190 % 12 == -10 is a bug waiting to
bite."
How do I get int literal attribute instead of SyntaxError?,"Trying to lookup an int literal attribute in the normal manner gives
a SyntaxError because the period is seen as a decimal point:
The solution is to separate the literal from the period
with either a space or parentheses."
How do I convert a string to a number?,"For integers, use the built-in int() type constructor, e.g. int('144')
== 144.  Similarly, float() converts to floating-point,
e.g. float('144') == 144.0.
By default, these interpret the number as decimal, so that int('0144') ==
144 holds true, and int('0x144') raises ValueError. int(string,
base) takes the base to convert from as a second optional argument, so int(
'0x144', 16) == 324.  If the base is specified as 0, the number is interpreted
using Python’s rules: a leading ‘0o’ indicates octal, and ‘0x’ indicates a hex
number.
Do not use the built-in function eval() if all you need is to convert
strings to numbers.  eval() will be significantly slower and it presents a
security risk: someone could pass you a Python expression that might have
unwanted side effects.  For example, someone could pass
__import__('os').system(""rm -rf $HOME"") which would erase your home
directory.
eval() also has the effect of interpreting numbers as Python expressions,
so that e.g. eval('09') gives a syntax error because Python does not allow
leading ‘0’ in a decimal number (except ‘0’)."
How do I convert a number to a string?,"To convert, e.g., the number 144 to the string '144', use the built-in type
constructor str().  If you want a hexadecimal or octal representation, use
the built-in functions hex() or oct().  For fancy formatting, see
the f-strings and Format String Syntax sections,
e.g. ""{:04d}"".format(144) yields
'0144' and ""{:.3f}"".format(1.0/3.0) yields '0.333'."
How do I modify a string in place?,"You can’t, because strings are immutable.  In most situations, you should
simply construct a new string from the various parts you want to assemble
it from.  However, if you need an object with the ability to modify in-place
unicode data, try using an io.StringIO object or the array
module:"
How do I use strings to call functions/methods?,"There are various techniques.
The best is to use a dictionary that maps strings to functions.  The primary
advantage of this technique is that the strings do not need to match the names
of the functions.  This is also the primary technique used to emulate a case
construct:
Use the built-in function getattr():
Note that getattr() works on any object, including classes, class
instances, modules, and so on.
This is used in several places in the standard library, like this:
Use locals() to resolve the function name:"
Is there an equivalent to Perl’s chomp() for removing trailing newlines from strings?,"You can use S.rstrip(""\r\n"") to remove all occurrences of any line
terminator from the end of the string S without removing other trailing
whitespace.  If the string S represents more than one line, with several
empty lines at the end, the line terminators for all the blank lines will
be removed:
Since this is typically only desired when reading text one line at a time, using
S.rstrip() this way works well."
Is there a scanf() or sscanf() equivalent?,"Not as such.
For simple input parsing, the easiest approach is usually to split the line into
whitespace-delimited words using the split() method of string objects
and then convert decimal strings to numeric values using int() or
float().  split() supports an optional “sep” parameter which is useful
if the line uses something other than whitespace as a separator.
For more complicated input parsing, regular expressions are more powerful
than C’s sscanf and better suited for the task."
What does ‘UnicodeDecodeError’ or ‘UnicodeEncodeError’ error  mean?,See the Unicode HOWTO.
Can I end a raw string with an odd number of backslashes?,"A raw string ending with an odd number of backslashes will escape the string’s quote:
There are several workarounds for this. One is to use regular strings and double
the backslashes:
Another is to concatenate a regular string containing an escaped backslash to the
raw string:
It is also possible to use os.path.join() to append a backslash on Windows:
Note that while a backslash will “escape” a quote for the purposes of
determining where the raw string ends, no escaping occurs when interpreting the
value of the raw string. That is, the backslash remains present in the value of
the raw string:
Also see the specification in the language reference."
